,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
924,RM Hira ,2012,15,3,1,37,20,18,33,112,0,0,0,4,1,NZ
925,J Hirschi ,2019,4,4,0,37,13,9,62,59,0,0,0,0,0,MALTA
927,R Kumar ,2019,4,3,1,37,32,18,27,137,0,0,0,6,0,ROM
928,D Manani ,2019,2,2,1,37,19,37,32,115,0,0,0,4,1,ROM
930,CA Soper ,2015,13,6,4,37,19,18,41,90,0,0,0,0,3,PNG
931,BM Wheeler ,2017,6,4,2,37,30,18,28,132,0,0,0,3,2,NZ
932,RJ Campbell ,2016,3,3,0,36,27,12,47,76,0,0,1,6,0,HKG
933,TK Curran ,2017,15,6,4,36,14,18,27,133,0,0,0,0,3,ENG
934,J Dunn ,2019,4,3,0,36,23,12,41,87,0,0,0,0,1,VAN
935,J Jojo ,2019,7,5,3,36,13,18,27,133,0,0,0,1,1,DEN
936,TE Kane ,2015,7,3,1,36,26,18,23,156,0,0,0,5,0,IRE
937,Mohammed Qasim ,2016,3,3,1,36,13,18,51,70,0,0,0,2,0,UAE
939,PA Patel ,2011,2,2,0,36,26,18,32,112,0,0,0,4,1,INDIA
940,Abdul Shakoor ,2015,6,4,2,35,20,17,40,87,0,0,0,3,0,UAE
941,MP Biddappa ,2019,4,2,1,35,22,35,47,74,0,0,0,1,1,PHI
942,STR Binny ,2015,3,2,0,35,24,17,29,120,0,0,0,2,1,INDIA
943,PJ Cummins ,2011,25,11,4,35,13,5,37,94,0,0,2,2,1,AUS
944,SM Curran ,2019,5,3,0,35,24,11,23,152,0,0,0,3,2,ENG
945,CD de Lange ,2015,8,3,0,35,22,11,22,159,0,0,0,2,2,SCOT
947,JN Malan ,2019,2,2,0,35,33,17,37,94,0,0,0,3,2,SA
948,VV Morea ,2015,5,5,0,35,19,7,44,79,0,0,1,4,0,PNG
949,D Murphy ,2013,4,4,3,35,20,35,35,100,0,0,0,1,0,SCOT
950,Nazakat Ali ,2019,2,2,0,35,25,17,31,112,0,0,0,1,3,NOR
951,Shuvagata Hom ,2016,5,4,2,35,16,17,35,100,0,0,0,3,1,BDESH
952,Sultan Ahmed ,2017,17,9,3,35,11,5,37,94,0,0,3,0,2,UAE
954,Arafat Sunny ,2014,10,6,3,34,10,11,30,113,0,0,0,3,1,BDESH
955,Hammad Azam ,2012,5,4,1,34,21,11,34,100,0,0,0,3,1,PAK
956,Nadeem Ahmed ,2014,24,9,4,34,10,6,55,61,0,0,1,2,0,HKG
957,JD Nel ,2007,10,5,2,34,13,11,25,136,0,0,1,3,1,SCOT
958,OL Pitcher ,2008,3,3,0,34,15,11,53,64,0,0,0,1,0,BMUDA
959,S Rakshit ,2019,7,5,1,34,15,8,44,77,0,0,1,5,0,CZK-R
960,Saqib Zulfiqar ,2018,6,4,0,34,18,8,43,79,0,0,0,1,0,NL
961,JTS Sumerauer ,2019,8,6,1,34,13,6,39,87,0,0,0,3,0,JER
962,W Viraliliu ,2019,10,7,3,34,13,8,26,130,0,0,0,3,2,VAN
963,PSP Handscomb ,2019,2,2,1,33,20,33,33,100,0,0,0,1,0,AUS
964,GO Jones ,2005,2,2,1,33,19,33,25,132,0,0,0,5,0,ENG
965,FJ Klaassen ,2018,21,7,1,33,13,5,34,97,0,0,1,2,0,NL
966,MF Maharoof ,2006,8,5,1,33,13,8,43,76,0,0,1,0,1,SL
967,CB Mpofu ,2008,30,10,6,33,17,8,40,82,0,0,3,3,1,ZIM
968,K Nestor ,2019,4,4,1,33,16,11,35,94,0,0,0,1,2,GIBR
